override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,BVD,DUNS,unspsc,naics,website,stockExchange,stockSymbol,buyerSystemDetails
,Lobortis Augue Corporation,United Kingdom ,Lobortis Augue Corporation,,,GB063548232,934-3782 Massa. St.,,,Bala,Stockholms län,53983-35702,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12246:Ariba Network ID
,Curabitur Egestas Company,United Kingdom ,Curabitur Egestas Company,,,GB063548233,Ap #518-5134 Tempor Ave,,,Barrow-in-Furness,Puebla,955423,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12247:Ariba Network ID
,Non Leo Inc.,United Kingdom ,Non Leo Inc.,,,GB063548234,Ap #537-6429 Phasellus Rd.,,,Golspie,Osun,1342,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12248:Ariba Network ID
,Ante Dictum Mi Incorporated,United Kingdom ,Ante Dictum Mi Incorporated,,,GB063548235,173-4693 Ullamcorper Ave,,,Bury St. Edmunds,Madrid,53-99,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12249:Ariba Network ID
,Iaculis Enim Sit Limited,United Kingdom ,Iaculis Enim Sit Limited,,,GB063548236,"P.O. Box 899, 345 Pede, Avenue",,,St. Albans,Merionethshire,433967,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12250:Ariba Network ID
,Luctus Aliquet Associates,United Kingdom ,Luctus Aliquet Associates,,,GB063548237,Ap #879-5279 Ligula. Street,,,Carlisle,Puntarenas,847369,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12251:Ariba Network ID
,Donec Tincidunt Donec Limited,United Kingdom ,Donec Tincidunt Donec Limited,,,GB063548238,"445-1793 Vel, Road",,,Sanquhar,Paraná,40002,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12252:Ariba Network ID
,Nullam Enim LLP,United Kingdom ,Nullam Enim LLP,,,GB063548239,Ap #363-1008 Nec Rd.,,,Durness,Caquetá,411611,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12253:Ariba Network ID
,Vestibulum Mauris Inc.,United Kingdom ,Vestibulum Mauris Inc.,,,GB063548240,Ap #756-9752 Vel Rd.,,,Eyemouth,Aquitaine,48-712,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12254:Ariba Network ID
,Nascetur Ridiculus Inc.,United Kingdom ,Nascetur Ridiculus Inc.,,,GB063548241,227-2418 Lectus. Av.,,,North Berwick,Morelos,18851,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12255:Ariba Network ID
,Fringilla Cursus Corporation,United Kingdom ,Fringilla Cursus Corporation,,,GB063548242,"Ap #808-4353 A, St.",,,Milnathort,Catalunya,6819,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12256:Ariba Network ID
,Augue Malesuada Consulting,United Kingdom ,Augue Malesuada Consulting,,,GB063548243,Ap #153-7434 Tellus Ave,,,Elgin,Maranhão,2681,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12257:Ariba Network ID
,Vestibulum Mauris Corp.,United Kingdom ,Vestibulum Mauris Corp.,,,GB063548244,"450-4865 Urna, Ave",,,Blackwood,West Sumatra,14476,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12258:Ariba Network ID
,Dui Nec Urna Corp.,United Kingdom ,Dui Nec Urna Corp.,,,GB063548245,365-3670 Vitae Rd.,,,New Galloway,Northumberland,3641-1171,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12259:Ariba Network ID
,Metus In Nec Industries,United Kingdom ,Metus In Nec Industries,,,GB063548246,946-3323 Donec Av.,,,Saltcoats,Nagaland,573458,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12260:Ariba Network ID
,Ante Corp.,United Kingdom ,Ante Corp.,,,GB063548247,"P.O. Box 703, 5761 Ut Rd.",,,Dundee,Central Luzon,50208,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12261:Ariba Network ID
,Eget Industries,United Kingdom ,Eget Industries,,,GB063548248,Ap #442-3931 Ut St.,,,Bonnyrigg,Saskatchewan,151571,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12262:Ariba Network ID
,Ullamcorper Eu Corp.,United Kingdom ,Ullamcorper Eu Corp.,,,GB063548249,Ap #494-6321 Diam. Ave,,,Lairg,Midi-Pyrénées,KE81 5BH,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12263:Ariba Network ID
,Sapien Cursus Incorporated,United Kingdom ,Sapien Cursus Incorporated,,,GB063548250,1658 Vel Ave,,,Roxburgh,Brussels Hoofdstedelijk Gewest,99783,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12264:Ariba Network ID
,Molestie In Inc.,United Kingdom ,Molestie In Inc.,,,GB063548251,923 Nulla St.,,,Stonehaven,Cajamarca,10348,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12265:Ariba Network ID
,Nulla Industries,United Kingdom ,Nulla Industries,,,GB063548252,Ap #389-5959 Nonummy. Road,,,Corby,Bali,1674-2680,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12266:Ariba Network ID
,Massa Mauris Limited,United Kingdom ,Massa Mauris Limited,,,GB063548253,644-3081 Auctor Av.,,,Llanwrtwd Wells,Drenthe,2315,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12267:Ariba Network ID
,Ipsum Corp.,United Kingdom ,Ipsum Corp.,,,GB063548254,297-9182 Lacus. Street,,,Cowdenbeath,Viken,263700,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12268:Ariba Network ID
,Donec Est Industries,United Kingdom ,Donec Est Industries,,,GB063548255,Ap #421-3386 Massa. Av.,,,Kidwelly,Morelos,612537,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12269:Ariba Network ID
,Diam Associates,United Kingdom ,Diam Associates,,,GB063548256,632-8733 Maecenas St.,,,Maidstone,Vichada,852484,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12270:Ariba Network ID
,Sed Company,United Kingdom ,Sed Company,,,GB063548257,Ap #418-4127 Non Road,,,Bristol,Long An,10246,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12271:Ariba Network ID
,Vestibulum Mauris Magna Limited,United Kingdom ,Vestibulum Mauris Magna Limited,,,GB063548258,355-7829 Proin St.,,,Duns,Vorarlberg,4352 IC,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12272:Ariba Network ID
,Et LLC,United Kingdom ,Et LLC,,,GB063548259,Ap #900-846 Maecenas St.,,,Bromley,Surrey,84771-067,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12273:Ariba Network ID
,Etiam Imperdiet PC,United Kingdom ,Etiam Imperdiet PC,,,GB063548260,"2535 At, Avenue",,,Marlborough,South Chungcheong,72-911,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12274:Ariba Network ID
,Varius Orci LLC,United Kingdom ,Varius Orci LLC,,,GB063548261,902-2331 Aenean Rd.,,,New Radnor,Noord Brabant,153721,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12275:Ariba Network ID
,Aenean Eget LLP,United Kingdom ,Aenean Eget LLP,,,GB063548262,Ap #269-6910 Sem St.,,,Nairn,Rio de Janeiro,74220,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12276:Ariba Network ID
,Ligula Nullam Enim Corporation,United Kingdom ,Ligula Nullam Enim Corporation,,,GB063548263,Ap #468-282 Sit Ave,,,Perth,Tripura,7118,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12277:Ariba Network ID
,Sagittis Augue Eu Consulting,United Kingdom ,Sagittis Augue Eu Consulting,,,GB063548264,2229 Sed St.,,,Montrose,Rogaland,566625,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12278:Ariba Network ID
,Dapibus LLP,United Kingdom ,Dapibus LLP,,,GB063548265,7137 In Street,,,Oakham,Melilla,7527,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12279:Ariba Network ID
,Porttitor Interdum LLC,United Kingdom ,Porttitor Interdum LLC,,,GB063548266,7433 Posuere Street,,,Slough,Drenthe,19984,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12280:Ariba Network ID
,Neque Nullam Ut PC,United Kingdom ,Neque Nullam Ut PC,,,GB063548267,Ap #693-989 Feugiat Street,,,Lerwick,Guanacaste,58192,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12281:Ariba Network ID
,Aliquet Ltd,United Kingdom ,Aliquet Ltd,,,GB063548268,Ap #229-5564 Tincidunt Road,,,Leominster,Extremadura,48863-16560,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12282:Ariba Network ID
,Cras Eget Limited,United Kingdom ,Cras Eget Limited,,,GB063548269,Ap #149-1399 In Rd.,,,Appleby,Rio de Janeiro,33726,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12283:Ariba Network ID
,Luctus Corp.,United Kingdom ,Luctus Corp.,,,GB063548270,780-8286 Nulla St.,,,Banchory,Lambayeque,7422,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12284:Ariba Network ID
,Mauris Eu Corporation,United Kingdom ,Mauris Eu Corporation,,,GB063548271,750-3285 Ac St.,,,Welshpool,Rheinland-Pfalz,813422,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12285:Ariba Network ID
,Convallis Est Company,United Kingdom ,Convallis Est Company,,,GB063548272,113-3142 Ante St.,,,Taunton,Carinthia,89084,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12286:Ariba Network ID
,Tincidunt Adipiscing Limited,United Kingdom ,Tincidunt Adipiscing Limited,,,GB063548273,Ap #993-3316 Cum Road,,,Fishguard,Cusco,667440,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12287:Ariba Network ID
,Malesuada Ut Incorporated,United Kingdom ,Malesuada Ut Incorporated,,,GB063548274,973-7889 Luctus Ave,,,Carnoustie,Free State,58304,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12288:Ariba Network ID
,Purus Accumsan PC,United Kingdom ,Purus Accumsan PC,,,GB063548275,"Ap #400-9287 Cursus, Rd.",,,Alloa,Møre og Romsdal,928517,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12289:Ariba Network ID
,Venenatis Lacus Etiam LLP,United Kingdom ,Venenatis Lacus Etiam LLP,,,GB063548276,"P.O. Box 296, 5910 Vivamus St.",,,Dalkeith,West Papua,6243,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12290:Ariba Network ID
,Orci Luctus Corporation,United Kingdom ,Orci Luctus Corporation,,,GB063548277,Ap #892-159 Egestas Street,,,Nairn,North Kalimantan,3160,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12291:Ariba Network ID
,Non Lacinia Inc.,United Kingdom ,Non Lacinia Inc.,,,GB063548278,498-3502 Diam. Avenue,,,Norwich,Schleswig-Holstein,4327 YM,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12292:Ariba Network ID
,Non Corporation,United Kingdom ,Non Corporation,,,GB063548279,Ap #965-8746 Et Rd.,,,Thurso,Ulster,769966,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12293:Ariba Network ID
,Sem Pellentesque Ut Corporation,United Kingdom ,Sem Pellentesque Ut Corporation,,,GB063548280,313-6944 Donec Ave,,,Bath,Tasmania,56582,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12294:Ariba Network ID
,Felis LLC,United Kingdom ,Felis LLC,,,GB063548281,808-9439 Metus. Road,,,Wellingborough,Casanare,897738,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12295:Ariba Network ID
,Vulputate Nisi Incorporated,United Kingdom ,Vulputate Nisi Incorporated,,,GB063548282,Ap #670-2718 Pellentesque St.,,,Macduff,Huáb?i,1438,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12296:Ariba Network ID
,Mattis Velit Justo PC,United Kingdom ,Mattis Velit Justo PC,,,GB063548283,Ap #780-7329 Gravida Avenue,,,Chesterfield,Guerrero,16342,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12297:Ariba Network ID
,Quis Tristique Ac Limited,United Kingdom ,Quis Tristique Ac Limited,,,GB063548284,Ap #837-1718 Praesent Street,,,Whithorn,Bangka Belitung Islands,31019,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12298:Ariba Network ID
,Ultrices Posuere Cubilia Ltd,United Kingdom ,Ultrices Posuere Cubilia Ltd,,,GB063548285,Ap #824-9881 Fringilla Ave,,,Banff,Bremen,2324,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12299:Ariba Network ID
,Natoque Institute,United Kingdom ,Natoque Institute,,,GB063548286,"P.O. Box 222, 9678 Ac, Avenue",,,Crawley,Lubuskie,612139,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12300:Ariba Network ID
,Nullam Velit Limited,United Kingdom ,Nullam Velit Limited,,,GB063548287,"Ap #407-6905 In, Ave",,,Ashbourne,West Region,42139,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12301:Ariba Network ID
,Tortor Nibh Corp.,United Kingdom ,Tortor Nibh Corp.,,,GB063548288,"103-1903 Quis, Av.",,,Folkestone,FATA,63001,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12302:Ariba Network ID
,Justo LLP,United Kingdom ,Justo LLP,,,GB063548289,785-2757 Est Road,,,Cambridge,Smolensk Oblast,34925,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12303:Ariba Network ID
,Ultrices Sit Ltd,United Kingdom ,Ultrices Sit Ltd,,,GB063548290,123-3696 Lacinia Road,,,Livingston,Guanacaste,38649,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12304:Ariba Network ID
,Enim Non Nisi Corporation,United Kingdom ,Enim Non Nisi Corporation,,,GB063548291,8947 Mauris St.,,,Montgomery,South Island,38248,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12305:Ariba Network ID
,A Aliquet Vel Limited,United Kingdom ,A Aliquet Vel Limited,,,GB063548292,Ap #209-878 Justo Ave,,,Crewe,Kirkcudbrightshire,6725,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12306:Ariba Network ID
,Praesent Eu Dui Corporation,United Kingdom ,Praesent Eu Dui Corporation,,,GB063548293,"561-9880 Elit, Ave",,,Gretna,Northern Territory,948865,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12307:Ariba Network ID
,Nulla Facilisi Sed Ltd,United Kingdom ,Nulla Facilisi Sed Ltd,,,GB063548294,"P.O. Box 959, 9705 Mauris Av.",,,Milnathort,South Gyeongsang,3352,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12308:Ariba Network ID
,A Consulting,United Kingdom ,A Consulting,,,GB063548295,"P.O. Box 841, 5468 Tempor Avenue",,,Wigtown,Central Region,71446,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12309:Ariba Network ID
,Dignissim Ltd,United Kingdom ,Dignissim Ltd,,,GB063548296,163-4268 Eu Rd.,,,Birmingham,Sindh,3764,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12310:Ariba Network ID
,Lacus Mauris Non Institute,United Kingdom ,Lacus Mauris Non Institute,,,GB063548297,969-6914 Vehicula Ave,,,Selkirk,Andalucía,67282,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12311:Ariba Network ID
,Diam Inc.,United Kingdom ,Diam Inc.,,,GB063548298,"Ap #234-2783 Non, Av.",,,Crawley,Gelderland,6832,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12312:Ariba Network ID
,Justo Praesent Corp.,United Kingdom ,Justo Praesent Corp.,,,GB063548299,4978 Quisque Ave,,,Llanwrtwd Wells,Calabarzon,26935,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12313:Ariba Network ID
,Ridiculus Mus Foundation,United Kingdom ,Ridiculus Mus Foundation,,,GB063548300,"Ap #354-4551 Montes, Rd.",,,Reading,Stockholms län,111438,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12314:Ariba Network ID
,Nostra Per Inc.,United Kingdom ,Nostra Per Inc.,,,GB063548301,"P.O. Box 604, 4133 Nibh Ave",,,Dereham,East Kalimantan,75729-171,,,FR542005376,444555666,10000000 - Live Plant and Animal Material and Accessories and Supplies,1111 - Oilseed and Grain Farming T,Google.com,NYSE - New York Stock Exchange,CNP,12315:Ariba Network ID
