override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,dunsNumber,BVD,DUNS,LEI,unspsc,naics,website,isDiversitySupplier,stockExchange,stockSymbol,buyerSystemDetails
,METHMAC COMMUNICATIONS PTY LTD,Australia,,,,97619129814,Blue Rock Road,,,Willow Grove,Victoria,3825,,,,AU619129814,,,,,https://www.leahmether.com.au/,,,,112260
,METRAWEATHER AUSTRALIA PTY LTD,Australia,,,,62126850904,"LEVEL 6,657 PACIFIC HIGHWAY",,,SYDNEY,New South Wales,2065,,,,AU126850904,,,,,metraweather.com,,,,109035
,"METRICSTREAM, INC.",United States of America,,,,0,"2749 E. BAYSHORE ROAD, SUITE 260",,,PALO ALTO,California,94303,,,,US168966195L,,,,,metricstream.com,,,,111646
,METRO TRADE SERVICES,Australia,,,,80604441554,9 ELMHURST RD,,,BLACKBURN,Victoria,3130,,,,AU604441554,,,,,https://www.facebook.com/Metrotradeservicesvic/,,,,102651
,METROHM AUSTRALIA PTY LTD,Australia,,,,93081861645,,,,RYDE,New South Wales,2112,,,,AU081861645,,,,,https://www.metrohm.com/en_au.html,,,,110972
,METROMIX PTY LIMITED,Australia,,,,39002886839,,,,LITHGOW,New South Wales,2790,,,,AU002886839,,,,,metromix.com.au,,,,110843
,METSO OUTOTEC AUSTRALIA LIMITED,Australia,,,,99000197428,POST OFFICE BOX 4,,,CARRINGTON,New South Wales,2294,,,,AU000197428,,,,,https://www.metso.com/,,,,111007
,METTLER TOLEDO LTD,Australia,,,,65004141986,,,,PORT MELBOURNE,Victoria,3207,,,,AU004141986,,,,,mt.com,,,,100997
,MEXT,Australia,,,,79436682833,132 CREMORNE ST,,,CREMORNE,Victoria,3121,,,,AU79436682833,,,,,https://www.mextconsulting.com/,,,,110055
,MG ONLINE PUBLICATIONS PTY LTD,Australia,,,,69104300870,25/88 Phillip St,,,Sydney,New South Wales,2000,,,,AU104300870,,,,,https://www.1minutemedia.com.au/,,,,113139
,MHA PRODUCTS,Australia,,,,38368064476,,,,NORTH PARRAMATTA,New South Wales,1750,,,,AU38368064476,,,,,mhaproducts.com.au,,,,111229
,MICK'S ULTIMATE PLUMBING,Australia,,,,53762424120,47 DEAKIN ST,,,OAKS FLATS,New South Wales,2529,,,,AU53762424120,,,,,,,,,109043
,MICON OFFICE NATIONAL,Australia,,,,90109496844,,,,WOLLONGONG,New South Wales,2500,,,,AU109496844,,,,,miconnational.com.au,,,,102558
,MICRO FOCUS AUSTRALIA PTY LTD,Australia,,,,73614548346,LEVEL 8 76 BERRY STREET,,,NORTH SYDNEY,New South Wales,2060,,,,AU614548346,,,,,https://www.microfocus.com/en-us/home,,,,109523
,MICROCOSM,Australia,,,,65124744976,1/35 PROGRESS ST,,,MORNINGTON,Victoria,3931,,,,AU124744976,,,,,https://www.microcosmdesign.com.au/,,,,104431
,MICROCOSM,Australia,,,,79714611405,1/35 PROGRESS STREET,,,MORNINGTON,Victoria,3931,,,,AU79714611405,,,,,https://www.microcosmdesign.com.au/,,,,110304
,MICROSOFT PTY LTD,Australia,,,,29002589460,1 EPPING ROAD,,,NORTH RYDE,New South Wales,2113,,,,AU002589460,,,,,microsoft.com,,,,104323
,MICROSOFT REGIONAL SALES PTE. LTD.,Singapore,,,,taxIdentificationNumber:201906581Z,"438B ALEXANDRA ROAD #04-09/12, BLOC B",,,Alexandra Technopark,,119968,,,,SG201906581Z,,8945006UNIT4VSLO5077,,,wsp.com,,,,104842
,MID NORTH HEALTH CARE TRUST,Australia,,,,75336498532,150 OAKLEY RD,,,SPALDING,South Australia,5454,,,,AU75336498532,,,,,,,,,110172
,MIDDENDORP ELECTRICS,Australia,,,,49338705390,372 VICTORIA STREET,,,BRUNSWICK,Victoria,3056,,,,AU49338705390,,,,,middys.com.au,,,,102099
,MIDWAY METALS PTY LTD,Australia,,,,88001831090,33 TATTERSON ROAD,,,DANDENONG,Victoria,3175,,,,AU001831090,,,,,midwaymetals.com.au,,,,100628
,MIDWEST RADIO NETWORK PTY LTD,Australia,,,,65000039261,"SUITE 202, LEVEL 2 222 HARRINGTON S",,,SYDNEY,New South Wales,2000,,,,AU000039261,,,,,https://www.midwestradionetwork.com/,,,,111165
,MIGHTYLAGG SERVICES PTY LTD,Australia,,,,38103201118,,,,BUDGEWOI,New South Wales,2262,,,,AU103201118,,,,,mightylaggservices.com.au,,,,111608
,MIGWELL AUSTRALIA,Australia,,,,97007276468,88 GREENS ROAD,,,DANDENONG,Victoria,3175,,,,AU007276468,,,,,migwell.com.au,,,,110507
,MIKE ALLEN CONSULTING PTY LTD,Australia,,,,62155176668,9 WEEMALA STREET,,,THE GAP,Queensland,4061,,,,AU155176668,,,,,allen-consulting.co.uk,,,,110734
,Mikomi Promotions,Australia,,,,75632450414,7 Norah Street,,,Traralgon,Victoria,3844,,,,AU75632450414,,,,,https://mikomi.com.au/,,,,112774
,MILLENNIUM INSIGHTS PTY LTD,Australia,,,,21605753900,LVL 27 101 COLLINS STREET,,,MELBOURNE,Victoria,3000,,,,AU605753900-B0002,,,,,millenniuminsights.com,,,,110040
,MILLER'S PLUMBING PTY. LTD.,Australia,,,,63005756329,19 Catherine Street,,,Morwell,Victoria,3840,,,,AU005756329,,,,,http://millersplumbing.yellow.com.au/,,,,113217
,MILLEWA PUMPING PTY LTD,Australia,,,,80164379159,17 Adams Street,,,MILDURA,Victoria,3500,,,,AU164379159,,,,,https://www.millewapumping.com.au/,,,,112366
,MINA TRAINING AND CERTIFICATION INC,United States of America,,,,,13281 MCGREGOR BLVD,,,Fort Myers,Florida,33919,,,,US329320676L,,,,,mobiusinstitute.com,,,,110335
,MINCO TECH AUSTRALIA PTY LTD,Australia,,,,74322197739,,,,CARDIFF,New South Wales,2285,,,,AU74322197739,,,,,minco-tech.com,,,,110810
,MIND FIELDS CONSULTING PTY LTD,Australia,,,,76119136953,"LEVEL 3, SUITE 304",,,SYDNEY,New South Wales,2000,,,,AU119136953,,,,,mindfieldsglobal.com,,,,110251
,MINDFULL AUS LTD,Australia,,,,43612615988,4 BARTON CT,,,WARRAGUL,Victoria,3820,,,,AU612615988,,,,,https://www.mindfullaus.org/,,,,112822
,MINDLABZ PTY LTD,Australia,,,,33622539637,"10.01, 3 BOWEN CRESCENT",,,MELBOURNE,Victoria,3004,,,,AU622539637,,,,,mindlabz.com.au,,,,110564
,MINERALS COUNCIL OF AUSTRALIA,Australia,,,,21191309229,"LEVEL 3, 44 SYDNEY AVENUE",,,FORREST,Australian Capital Territory,2603,,,,AU008455141,,,,,minerals.org.au,,,,100219
,MINES RESCUE PTY LIMITED,Australia,,,,15099078261,558 Princess Hwy,,,WOONONA,New South Wales,2517,,,,AU099078261,,,,,coalservices.com.au,,,,105670
,MINIMAX FIRE FIGHTING SYSTEMS PTY LTD,Australia,,,,80118238681,35/49-51 MITCHELL ROAD,,,BROOKVALE,New South Wales,2100,,,,AU118238681,,,,,minimax.com,,,,105324
,MINTER ELLISON LAWYERS,Australia,,,,91556716819,,,,MELBOURNE,Victoria,3001,,,,AU91556716819,,,,,minterellison.com,,,,101526
,MIRO,United States of America,,,,taxRegistrationNumber:46-3021926,"201 Spear Street, Suite 1100",,,San Francisco,California,94105,,,,US314266154L,081497692,,,,https://miro.com/,,,,112458
,Mirri Mirri Productions Pty Ltd,Australia,,,,86135352377,4/45 Walkers Drive,,,LANE COVE,New South Wales,2066,,,,AU135352377,,,,,https://www.mirrimirri.com.au/,,,,112818
,MITCHELL VALLEY EXCAVATIONS,Australia,,,,12139105990,,,,LINDENOW,Victoria,3865,,,,AU139105990,,,,,https://www.facebook.com/p/Mitchell-Valley-Excavations-Pty-Ltd-100057340814174/,,,,105905
,MJ & SJ BUTLER,Australia,,,,93303759930,31 STANLEY AVE,,,PORT PIRIE,South Australia,5540,,,,AU93303759930,,,,,,,,,108948
,MJB International Limited LLCC,United Arab Emirates,,,,,PO Box 322,,,Abu Dhabi,,20000,,,,AE0074426651,,,,,https://mjbi.com/,,,,113446
,MJC CONTROLS PTY LTD,Australia,,,,35680182951,,,,PATTERSON LAKES,Victoria,3197,,,,AU35680182951,,,,,mjccontrols.com.au,,,,107216
,MM ELECTRICAL PRODUCTS - MARLESTON,Australia,,,,13003762641,158-160 RICHMOND ROAD,,,MARLESTON,South Australia,5033,,,,AU003762641,,,,,https://mm.mmem.com.au/marleston,,,,104181
,MMM CONSULTING PTY LTD,Australia,,,,39113868563,2100 MEENIYAN-MIRBOO NORTH RD,,,MARDAN,Victoria,3953,,,,AU113868563,,,,,,,,,110565
,MNEMONIC AI INC,United States of America,MNEMONIC AI INC,,,taxRegistrationNumber:40-3998407,"701 Brazos Street, Suite 535",,,Austin,,78701,,,,US403998407L,,,,,https://www.vml.com/,,,,112165
,MOB JOBS PTY LTD,Australia,,,,24662965040,Unit 1 56 Norcal Road,,,Nunawading,Victoria,3131,,,,AU662965040,,,,,https://www.mobjobs.com.au/,,,,113449
,MOE BETTA ELECTRICAL,Australia,,,,35106806080,2/17 MOORE STREET,,,MOE,Victoria,3825,,,,AU106806080,,,,,https://www.betta.com.au/,,,,101141
,MOLINO STEWART PTY LTD,Australia,,,,95571253092,"PO BOX 614,PARRAMATTA CBD BC",,,PARRAMATTA,New South Wales,2124,,,,AU95571253092,,,,,molinostewart.com.au,,,,111785
,MOLY-COP AUSTRALIA,Australia,,,,58000007698,,,,WARATAH,New South Wales,2298,,,,AU000007698,,,,,molycop.com,,,,111563
,MOMENTUM SEARCH AND SELECTION PTY LTD,Australia,,,,34161602133,308/3-7a Alma Road,,,St Kilda,Victoria,3182,,,,AU161602133,,,,,https://www.momentumsearch.com.au/,,,,113147
,Monday.com Ltd,Israel,,,,0,"Menahem Begin 52,",,,"Tel Aviv, Israel",,6713701,,,,IL40189GE,,,,,monday.com,,,,111865
,MONDO POWER PTY LTD,Australia,,,,73097962395,"2 Southbank Blvd, Level 26",,,SOUTHBANK,Victoria,3006,,,,AU097962395,,,,,mondo.com.au,,,,103533
,MONITON PTY LTD,Australia,,,,68005590232,BP50,,,DEERLIJK,Victoria,8540,,,,AU005590232,,,,,,,,,111679
,MONTLAUR PROJECT SERVICES PTY LTD,Australia,,,,54101092899,1/24 CROMWELL STREET,,,COLLINGWOOD,Victoria,3066,,,,AU101092899-B0002,,,,,https://www.cbre.com.au/real-estate-services/occupier/project-management,,,,105634
,MOODY'S INVESTORS SERVICE PTY LIMITED,Australia,,,,61003399657,"Level 10, 1 O'Connell Street",,,Sydney,New South Wales,2000,,,,AU003399657,,,,,https://www.moodys.com/,,,,112874
,MOOG AUSTRALIA,Australia,,,,50005599584,18 CORPORATE DR,,,HEATHERTON,Victoria,3202,,,,AU005599584,,,,,moog.com,,,,104184
,Moreton Hire Pty Ltd,Australia,,,,40132853779,49 Station street,,,Nerang,Queensland,4211,,,,AU132853779,,,,,https://moreton.net.au/,,,,112236
,MORGAN INDUSTRIAL CARBON,Australia,,,,82000037776,21 AMOUR STREET,,,REVESBY,New South Wales,2212,,,,AU000037776,,,,,morgancarbon.com,,,,105515
,MORWELL SPRINGS & SUSPENSION,Australia,,,,21914051634,52 COMMERCIAL ROAD,,,MORWELL,Victoria,3840,,,,AU21914051634,,,,,https://m.facebook.com/p/Morwell-Springs-and-Suspension-100090295315202/,,,,106251
,Motion Pty Ltd,Australia,,,,32000143608,,,,REGENCY PARK DC,South Australia,5942,,,,AU000143608,,,,,https://www.motionasiapac.com/,,,,104492
,MOVINGHUB PTY LTD,Australia,,,,64637137154,"Level 9, 737 Bourke Street",,,DOCKLANDS,Victoria,3008,,,,AU637137154,,,,,movinghub.io,,,,110557
,MP WATER PTY LTD,Australia,,,,21621777320,"LEVEL 12, 680 GEORGE ST",,,SYDNEY,New South Wales,2000,,,,AU621777320,,,,,,,,,110722
,MSA (AUST) PTY LTD,Australia,,,,97000389837,,,,WENTWORTHVILLE,New South Wales,2145,,,,AU000389837,,,,,au.msasafety.com,,,,111604
,MSB TOTAL SOLUTIONS PTY LTD,Australia,,,,79168561126,42 CROWLEYS LANE,,,MUDGEE,New South Wales,2850,,,,AU168561126,,,,,msbtotalsolutions.com.au,,,,109797
,MSTREAM COMMUNITY PTY LTD,Australia,,,,71070145247,"Suite 23, 1 Bradly Avenue",,,Kirribilli,New South Wales,2061,,,,AU070145247,,,,,https://www.mainstreamcommunity.com/,,,,112620
,MULESOFT INC,United States of America,,,,0,"77 GEARY STREET, SUITE 400",,,San Francisco,California,94108,,,,US205158650,,,,,mulesoft.com,,,,109365
,MULHOLLAND TURBOMACHINERY SERVICES,Australia,,,,85623421054,45 HENNESSY LANE,,,FIGTREE,New South Wales,2525,,,,AU623421054,,,,,,,,,109780
,MULLER SUPPORT SERVICES PTY LTD,Australia,,,,25113478005,15/9 MIRRA COURT,,,BUNDOORA,Victoria,3083,,,,AU113478005,,,,,mullersupportservices.com.au,,,,110510
,MULTIPHASE PTY LTD,Australia,,,,41099623060,,,,COLLINS ST WEST,Victoria,8007,,,,AU099623060,,,,,multiphaseptyltd.com.au,,,,110511
,MUMS WHO MIND,Australia,,,,40091267953,5 Nicol ST,,, Highett,Victoria,3190,,,,AU091267953,,,,,https://corporatewisdom.com.au/,,,,113224
,MUNTERS PTY LIMITED,Australia,,,,22003614499,"""UNIT 2, 148 JAME RUSE DRIVE""",,,PARRAMATTA,New South Wales,2150,,,,AU003614499,,,,,munters.com,,,,110512
,MURRAY PEST CONTROL JAMESTOWN,Australia,,,,53900626616,,,,JAMESTOWN,South Australia,5491,,,,AU53900626616,,,,,murraypestcontrol.com.au,,,,104619
,MURU OFFICE SUPPLIES PTY LTD,Australia,,,,58601516545,25 Nyrang Street,,,Lidcombe,New South Wales,2141,,,,AU601516545,,,,,muruoffice.com.au,,,,110176
,MV TECHNOLOGY SOLUTIONS PTY LIMITED,Australia,,,,79104481183,"Unit 2, 21 Bay Road,",,,Taren Point,New South Wales,2229,,,,AU104481183,,,,,https://www.mvtech.com.au/,,,,112936
,MY COFFEE SHOP PTY LTD,Australia,,,,38102850037,9 HALL ST,,,HAWTHORN EAST,Victoria,3123,,,,AU102850037,,,,,mycoffeeshop.com.au,,,,106995
,MYCONNECT TRADING PTY LTD,Australia,,,,65627003605,,,,MELBOURNE,Victoria,3001,,,,AU627003605,,,,,myconnect.com.au,,,,106638
,MYSITE DESIGN PTY LTD,Australia,,,,47104027812,5/12 Commercial Road,,,NEWSTEAD,Queensland,4006,,,,AU104027812,,,,,https://www.mysite.com.au/,,,,112390
,NAGIOS ENTERPRISES LLC,United States of America,,,,0,"1295 BANDANA BLVD N, SUITE 165",,,SAINT PAUL,Minnesota,55108,,,,US254030186L,,,,,nagios.org,,,,109887
,Naismith Engineering & Manufacturing Co PTY LTD,Australia,,,,25004284388,"RING COMPANY PTY LTD UNIT 1, 29 BEA",,,SEVEN HILLS,New South Wales,2147,,,,AU004284388,,,,,https://www.naismith.com.au/,,,,111136
,NAK SIGNS,Australia,,,,12007436866,43 EASTERN ROAD,,,TRARALGON,Victoria,3844,,,,AU007436866,,,,,naksigns.com.au,,,,100541
,"Nalco Champion, an Ecolab Company",Australia,,,,59000449990,2 DRAKE AVE,,,MACQUARIE PARK,New South Wales,2113,,,,AU000449990,,,,,en-uk.ecolab.com,,,,108810
,NANWAL CONSTRUCTION AND PROJECT MANAGEMENT PTY LTD,Australia,,,,54271859746,56 HILDA RD,,,BAULKHAM HILLS,New South Wales,2152,,,,AU54271859746,,,,,,,,,112706
,NARTA INTERNATIONAL PTY. LIMITED,Australia,,,,81003379486,"SUITE 3, LEVEL 3, 19 HARRIS ST",,,PYRMONT,New South Wales,2009,,,,AU003379486,,,,,narta.com.au,,,,110184
,NATION PARTNERS PTY LTD,Australia,,,,96166861892,"Level 3, 75 Flinders Lane,",,,Melbourne,Victoria,3000,,,,AU166861892,,,,,https://www.nationpartners.com.au/,,,,112679
,NATIONAL ACCREDITATION AUTHORITY OF TRANSLATORS AND INTERPRETERS LTD,Australia,,,,42008596996,"16/2 King Street,",,,Deakin,Australian Capital Territory,2600,,,,AU008596996,,,,,https://www.naati.com.au/,,,,112764
,NATIONAL AUSTRALIA BANK,Australia,,,,12004044937,271 COLLINS STREET,,,MELBOURNE,Victoria,3000,,,,AU004044937,,,,,https://www.nab.com.au/,,,,102100
,NATIONAL EMBEDDED NETWORKS TRUST #2 TRUST,Australia,,,,56875549985,25 BEAUMARIS PARADE,,,HIGHETT,Victoria,3190,,,,AU56875549985,,,,,,,,,109361
,NATIONAL ENERGY SOLUTIONS PTY LTD,Australia,,,,38154975265,"LVL1,73A RUPERT STREET, COLLINGWOOD",,,MELBOURNE,Victoria,3066,,,,AU154975265,,,,,nationalenergysolutions.com.au,,,,108480
,NATIONAL FLOW SYSTEMS PTY LTD,Australia,,,,41628619992,115 MUNIBUNG ROAD,,,CARDIFF,New South Wales,2285,,,,AU628619992,,,,,https://nfsaus.com/,,,,111465
,NATIONAL RESPONSE CENTRE,Australia,,,,22078868425,"LEVEL 11 (SUITE 1102), 401 DOCKLAND",,,NEW QUAY,Victoria,3008,,,,AU078868425,,,,,natresponse.com.au,,,,103197
,NATIONAL REWARDS GROUP INC,Australia,,,,59717414007,GPO BOX 4296,,,SYDNEY,New South Wales,2001,,,,AU59717414007,,,,,https://www.nationalrewardsgroup.com.au/,,,,105956
,NATIONWIDE OIL PTY LTD,Australia,,,,95066383364,,,,DANDENONG STH,Victoria,3164,,,,AU066383364,,,,,https://www.cleanaway.com.au/,,,,100156
,NATURE PTY LTD,Australia,,,,74360915718,"Level3,3 Newton Street",,,CREMORNE,Victoria,3121,,,,AU74360915718,,,,,,,,,105278
,NAVIRE ADVISORY,Australia,,,,24129492926,Level 13 356 Collins Street,,,Melbourne,Victoria,3000,,,,AU24129492926,,,,,https://navire.com/,,,,112206
,"NB Ventures, Inc. DBA GEP",United States of America,,,,0,100 Walnut Avenue,,,Clark,New Jersey,07066,,,,US320066057L,,,,,https://www.gep.com/,,,,112207
,NCC GROUP PTY LIMITED,Australia,,,,83119804803,"Level 23, 45 Clarence Street",,,Sydney,New South Wales,2000,,,,AU119804803,,,,,https://www.nccgroup.com/us/,,,,113066
,NCH AUSTRALIA PTY LTD,Australia,,,,19000609316,5-9 RALPH STREET,,,ALEXANDRIA,New South Wales,2015,,,,AU000609316,,,,,nchasia.com,,,,106848
,NEARMAP AUSTRALIA PTY LTD,Australia,,,,16120677250,,,,ROYAL EXCHANGE SYDNEY,New South Wales,1225,,,,AU120677250,,,,,nearmap.com,,,,107756
,NECA EDUCATION AND CAREERS LTD,Australia,,,,53054944366,1024 Lygon street,,,Carlton North,Victoria,3054,,,,AU054944366,,,,,https://necaeducation.com.au/,,,,113172
,NEMEA COMMERCIAL VICTORIA TRUST,Australia,,,,75526993614,,,,MOORABBIN EAST,Victoria,3189,,,,AU75526993614,,,,,,,,,111661
,NEOEN ENERGY MANAGEMENT AUSTRALIA PTY,Australia,,,,74639264707,"SUITE 1, LEVEL 10, ELIZABETH ST",,,SYDNEY,New South Wales,2000,,,,AU639264707,,,,,https://australia.neoen.com/en/,,,,110689
,NEPEAN CONVEYORS PTY LTD,Australia,,,,47003794885,73-77 TOPHAM ROAD,,,SMEATON GRANGE,New South Wales,2567,,,,AU003794885,,,,,nepeanconveyors.com,,,,111423
,NESPRESSO AUSTRALIA- A UNIT OF,Australia,,,,77000011316,"NESTLE AUSTRALIA LTD LEVEL 21, 201",,,NORTH SYDNEY,New South Wales,2060,,,,AU000011316,,,,,https://www.nespresso.com/au/en/home,,,,111137
,NETSOLUTIONS AUSTRALIA PTY LTD,Australia,,,,83094265951,"UNIT 9, 350 BRIDGE ST",,,PORT MELBOURNE,Victoria,3207,,,,AU094265951,,,,,https://netsolutions.net.au/,,,,100650
,NETWORK INNOVATIONS PTY LTD,Australia,,,,94605345140,,,,CLAREMONT,Western Australia,6910,,,,AU605345140,,,,,networkinv.com,,,,111268
,NEUSTAR INC,United States of America,NEUSTAR INC,,,,"1906 Reston Metro Plaza, Suite 500",,,Reston,Virginia,20190,,,,US338069972L,,,,,wormald.com.au,,,,112167
,NEVERFAIL SPRINGWATER LIMITED,Australia,,,,43003559519,,,,WENTWORTHVILLE,New South Wales,2145,,,,AU003559519,,,,,neverfail.com.au,,,,101199
,NEW ERA,Australia,,,,75159845146,,,,ROSE BAY,New South Wales,2029,,,,AU159845146,,,,,https://www.neweratotal.com.au/,,,,111507
,NEW METER CONNECT PTY LTD,Australia,,,,31655121878,"Level 9, 167 Queen St",,,Melbourne,Victoria,3000,,,,AU655121878,,,,,https://newmeterconnect.com.au/,,,,112604
,NEW RELIC INC,United States of America,NEW RELIC INC,,,taxRegistrationNumber:26-2017431 | 280693544,PO Box 101812,,,PASADENA,,91189-1812,,,,US280693544L,,,,,eshop.wurth.com.au,,,,110054
,NEWCASTLE INDUSTRIAL PLASTICS,Australia,,,,44001989760,8 MANGROVE ROAD,,,SANDGATE,New South Wales,2304,,,,AU001989760,,,,,,,,,110907
,NEWCASTLE WEIGHING SERVICES P/L,Australia,,,,36001344430,,,,WICKHAM,New South Wales,2293,,,,AU001344430,,,,,nws.com.au,,,,111256
,NEWGATE COMMUNICATIONS PTY LIMITED,Australia,,,,38162366056,"167 Level 15, Macquarie Street",,,Sydney,New South Wales,2000,,,,AU162366056,,,,,https://secnewgate.com/,,,,112283
,NEXTDC LIMITED,Australia,,,,35143582521,LEVEL 6 100 CREEK STREET,,,BRISBANE,Queensland,4000,,,,AU143582521,,,,,nextdc.com,,,,109631
,NEXUS6 SOFTWARE PTY LTD,Australia,,,,65096841244,27 BUDD ST,,,COLLINGWOOD,Victoria,3066,,,,AU096841244,,,,,n6.com.au,,,,107953
,NEXXIS TECHNOLOGY PTY LTD,Australia,,,,20636221219,"Level 2, 15 Ogilvie Road",,,Mount Pleasant,Western Australia,6153,,,,AU636221219,,,,,https://nexxis.com.au/,,,,112408
,NGH PTY LTD,Australia,,,,31124444622,2/54 Hudson Street,,,Hamilton,New South Wales,2303,,,,AU124444622,,,,,https://nghconsulting.com.au/,,,,112398
,NHP ELECTRICAL ENGINEERING PRODUCTS PTY LTD,Australia,,,,84004304812,43 - 67 RIVER STREET,,,RICHMOND,Victoria,3121,,,,AU004304812,,,,,nhp.com.au,,,,105353
,NICE SYSTEMS AUSTRALIA PTY LIMITED,Australia,,,,18115844810,"LVL 7, 141 WALKER ST",,,NORTH SYDNEY,New South Wales,2060,,,,AU115844810,,,,,nice.com,,,,103713
,NILFISK PTY LTD,Australia,,,,98003762623,14 Lidco Street,,,ARNDELL PARK,New South Wales,2148,,,,AU003762623,,,,,https://www.nilfisk.com/en-au/,,,,112704
,NILSEN (NSW) PTY LTD,Australia,,,,67115075119,,,,SILVERWATER,New South Wales,1811,,,,AU115075119,,,,,https://www.nilsen.com.au/contact-us.html,,,,110986
,NILSEN (VIC) PTY LTD,Australia,,,,57004139904,43 SHEEHAN RD,,,WEST HEIDELBERG,Victoria,3081,,,,AU004139904,,,,,nilsen.com.au,,,,101545
,NILSEN NETWORKS PTY. LTD.,Australia,,,,32122338685,Unit 4 / 3 - 5 Gilda Court,,,Mulgrave,Victoria,3170,,,,AU122338685,,,,,https://www.nilsen.com.au/,,,,112702
,NINE LIVES SYSTEMS PTY LTD,Australia,,,,76099455606,38A OSBORNE RD,,,NORTH WARRANDYTE,Victoria,3113,,,,AU099455606,,,,,https://www.ninelives.com.au/,,,,106968
,NISOFT ASIA PACIFIC PTE LTD,Singapore,,,,0,46 EAST COAST ROAD,,,#06-01 EAST GATE,,428766,,,,SG201107783W,,,,,nisoft.com,,,,109251
,NLC PTY LTD,Australia,,,,57052442645,"LEVEL 3, 102 ALBERT RD",,,SOUTH MELBOURNE,Victoria,3205,,,,AU052442645,,,,,nlc.com.au,,,,103878
,NO PROBLEMS JUST SOLUTIONS PTY LTD,Australia,,,,15121941277,19 Brennan Way,,,Belmont,Western Australia,6104,,,,AU121941277,,,,,https://www.landsurveys.net.au/,,,,113319
,NOISE & VIBRATION MEASUREMENT SYSTE PTY LTD,Australia,,,,14009390158,433 VINCENT ST WEST,,,WEST LEEDERVILLE,Western Australia,6007,,,,AU009390158,,,,,https://nvms.com.au/,,,,108410
,NORMA PACIFIC PTY LTD,Australia,,,,42054880769,85 MERRINDALE DRIVE,,,CROYDON SOUTH,Victoria,3136,,,,AU054880769-B0006,,,,,normagroup.com,,,,110934
,NORTHMORE GORDON ENVIRONMENTAL PTY,Australia,,,,45160805649,132 Cremorne Street,,,Cremorne,Victoria,3121,,,,AU160805649,,,,,https://northmoregordon.com/,,,,113186
,NOSTRA HOMES & DEVELOPMENTS PTY LTD,Australia,,,,66127679627,29 KEILOR PARK DRIVE,,,KEILOR PARK,Victoria,3042,,,,AU127679627,,,,,https://nostrahomes.com.au/,,,,112827
,NOVATECH CONTROLS AUSTPTY LTD,Australia,,,,57006331700,309 RESERVE ROAD,,,CHELTENHAM,Victoria,3192,,,,AU006331700,,,,,novatech.com.au,,,,101546
,NOVUS SEALING PTY LTD,Australia,,,,28057426909,16/12 BARRY STREET,,,BAYSWATER,Victoria,3153,,,,AU057426909,,,,,novussealing.com.au,,,,108985
,NQPETRO PTY LTD,Australia,,,,77167515844,40 ponzo street,,,woree,Queensland,4868,,,,AU167515844,,,,,https://www.nqpetro.com.au/,,,,113468
,NSW LOCKSMITH SERVICES PTY LTD,Australia,,,,32169197666,2 / 19-21 ELLEN STREET,,,WOLLONGONG,New South Wales,2500,,,,AU169197666,,,,,https://www.mawsonlockservice.com.au/,,,,108572
,NTT AUSTRALIA DIGITAL PTY LTD,Australia,,,,31100103268,Level 21/35 Collins Street,,,Melbourne,Victoria,3000,,,,AU100103268,,,,,oakton.com.au,,,,111746
,NTT AUSTRALIA PTY LTD DIMENSION DATA,Australia,,,,65003371239,201 SUSSEX STREET,,,SYDNEY,New South Wales,2000,,,,AU003371239,,,,,dimensiondata.com,,,,100526
,NTT COM ICT SOLUTIONS (AUSTRALIA) P,Australia,,,,61059040998,"LVL 37, 360 ELIZABETH ST",,,MELBOURNE,Victoria,3000,,,,AU059040998,,,,,https://www.ntt.com/en/services.html,,,,102945
,NUKON PTY LTD,Australia,,,,50613300762,"F22 / 6 MAB Eastern Promenade ,1284",,,Tonsley,South Australia,5042,,,,AU613300762,,,,,https://www.nukon.com/,,,,112747
,NUS CONSULTING GROUP PTY LTD,Australia,,,,78000542772,,,,NORTH SYDNEY,New South Wales,2059,,,,AU000542772,,,,,nusconsulting.com,,,,105965
,O&M PTY LTD,Australia,,,,17162492775,2B SWAN RD,,,MORWELL,Victoria,3840,,,,AU162492775,,,,,omaustralia.com.au,,,,108289
,OBJECTIVE CORPORATION LIMITED,Australia,,,,16050539350,"LEVEL 37,NORTHPOINT BUILDING",,,"100 MILLER STREET,NORTH SYDNEY",New South Wales,2060,,,,AU050539350,,,,,objective.co.uk,,,,109115
,OCPS 801135L,Australia,,,,27855806845,25 COVENTRY STREET,,,SOUTHBANK,Victoria,3006,,,,AU27855806845,,,,,https://www.theknight.com.au/,,,,111659
,OCPS 810967L,Australia,,,,49180893090,199-217 Peel Street,,,NORTH MELBOURNE,Victoria,3051,,,,AU49180893090,,,,,https://www.theknight.com.au/,,,,112821
,OGH HOLDINGS PTY LTD,Australia,,,,63163328443,"Level 1 127, Whiteman St",,,Southbank,Victoria,3006,,,,AU163328443,,,,,https://ozgreenhomes.com.au/,,,,112110
,OIL & CHEM SPILL EQUIPE PTY LTD,Australia,,,,34128894057,,,,WODONGA,Victoria,3689,,,,AU128894057,,,,,oilprice.com,,,,107064
