override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,BVD,dunsNumber,LEI,unspsc,naics,website,isDiversitySupplier,stockExchange,stockSymbol,buyerSystemDetails
,ADDPLM - GMBH,Germany,,,,HRB 6081 |DE280083361,Am Wäldchen 3,,,Tann (Rhön),,36142,,,DE6090125285,342466790,,,,www.addplm.com,,,,
,ADESTA GMBH&CO.KG,Germany,,,,HRA 6577 |DE201697815|007 355 60131,Wilhelminenstraße 25,,,Darmstadt,,64283,,,DE6050145975,343620352,,,,www.adesta.de,,,,
,ADITAN WERBE- UND ORG.MITTEL GMBH,Germany,,,,HRB 73512 |DE279168233|223/5801/8320,Toyota-Allee 54,,,Köln,,50858,,,DE5190969607,342340990,,,,www.aditan.de,,,,
,ADMESS VERTRIEBS GMBH,Germany,,,,HRB 12121 |DE813965508,Ernst-Kiefer-Straße 9,,,Kirchheimbolanden,,67292,,,DE7150145351,333360308,,,,www.admess.de,,,,
,RUBIX GMBH,Germany,,,,|DE812336107,Benzstraße 18,,,Karlsruhe,,76185,,,DE8230264231-1021,551184166,,,,de.rubix.com,,,,
,HAUPT PHARMA AMAREG GMBH,Germany,,,,HRB 9285 |DE229665752,Donaustaufer Str. 378,,,Regensburg,,93055,,,DE8230379054,331334909,,,,www.aenova-group.com,,,,
,MUNITEC VERTRIEBS-GMBH,Germany,,,,HRB 279024 |DE129422410|102/238/50257,Holzweg 59,,,Augsburg,,86156,,,DE8030283586,319883625,,,,www.munitec-gmbh.de,,,,
,AEROCOM GMBH & CO.,Germany,,,,HRB 701888 ,Adam-Riese-Straße 16,,,Schwäbisch Gmünd,,73529,,,DE7370105215,389564402,,,,www.aerocom.de,,,,
,AEROPUR GMBH,Germany,,,,HRB 752937 |DE300289539|71300/18807,Bauhofring 8,,,Tamm,,71732,,,DE7331119371,313493021,,,,www.aeropur.de,,,,
,ABELE ELEKTROTECHNIK &             STEUERUNGSBAU GMBH,Germany,,,,HRB 108340 |DE195419163|34410/03214,Grombacher Str. 68,,,Walzbachtal,,75045,,,DE7110190045,315674858,,,,www.abele-elektrotechnik.de,,,,
,AES AIRCRAFT ELEKTRO,Germany,,,,HRB 17588 HB |DE189619367|60/104/03950,Hanna-Kunath-Straße 33,,,Bremen,,28199,,,DE2050406289,537579500,,,,www.aes-aero.com,,,,
,AFI GMBH,Germany,,,,HRB 6523 |DE147822430|99025/00715,Julius-Hölder-Straße 39,,,Stuttgart,,70597,,,DE7330050044,317740066,,,,www.afi-solutions.com,,,,
,DPD DEUTSCHLAND GMBH,Germany,,,,HRB 8887 |DE248464253|204/115/10477,Wailandtstraße 1,,,Aschaffenburg,,63741,,,DE8010115172,329652973,,,,www.dpd.com,,,,
,ATEC PHARMATECHNIK GMBH,Germany,,,,HRB 3279 FL |DE181764788|15/295/03677,Schulstraße 48,,,Sörup,,24966,,,DE2090120142,388071615,,,,www.atecgroup.de,,,,
,AGILENT TECHNOLOGIES,Germany,,,,HRB 723782 |DE812729296,Herrenberger Str. 130,,,Böblingen,,71034,,,DE7330567401,498994300,,,,www.agilent.de,,,,
,AGKAMED GMBH,Germany,,,,HRB 17640 |DE205941353|112/5747/0918,Ruhrallee 175,,,Essen,,45136,,,DE5110250642,329456128,,,,www.agkamed.de,,,,
,AGRAR SERVICE TERHUF,Germany,,,,HRA 11322 |DE287199587|130/5847/0198,Horster Weg 5,,,Hamminkeln,,46499,,,DE5390016673,342776931,,,,www.terhuf.de,,,,
,AGU DIREKT GMBH,Germany,,,,HRB 110345 |DE117569307|65/200/00195,Up de Heede 2,,,Glandorf,,49219,,,DE2310090806,333224053,,,,www.agu-gmbh.de,,,,
,AGU PLANUNGSGESELLSCHAFT FÜR,Germany,,,,HRB 48886 |DE123720593|230/5700/0497,Von-Ketteler-Straße 1,,,Leverkusen,,51371,,,DE5330089679,341163475,,,,www.agu.de,,,,
,AH AKADEMIE FUR FORTBILDUNG (508),Germany,,,,,Maaßstraße 28,,,Heidelberg,,69123,,,DE7050233144,507123409,,,,www.akademie-heidelberg.de,,,,
,AUGUST HEDINGER GMBH & CO.KG,Germany,,,,HRB 3326 ,Heiligenwiesen 26,,,Stuttgart,,70327,,,DE7330019389,323943910,,,,www.hedinger.de,,,,
,AHF ANALYSENTECHNIK AG,Germany,,,,HRB 381970 |DE146876566,Kohlplattenweg 18,,,Tübingen,,72074,,,DE7270100569,316134621,,,,www.ahf.de,,,,
,AHLBORN MESS- UND REGELUNGSTECHNIK,Germany,,,,HRB 45644 |DE812612364|139/121/30112,Eichenfeldstraße 1,,,Holzkirchen,,83607,,,DE8250045361,319110797,,,,www.ahlborn.com,,,,
,PRODUKTKANZLEI A/P-149235,Germany,,,,HRB 34009 |DE325991634,Provinostr. 52/p,,,Augsburg,,86153,,,DE8030448912,342977614,,,,www.produktkanzlei.com,,,,
,AHS ANTRIEBSTECHNIK GMBH,Germany,,,,HRB 86895 |DE259426813|07 228 09361,Fichtenweg 17,,,Pfungstadt,,64319,,,DE6050238507,340887141,,,,www.ahs-antriebstechnik.de,,,,
,HANHART 1882 GMBH,Germany,,,,HRB 711664 |DE295706933,Hauptstraße 33,,,Gütenbach,,78148,,,DE7350142512,313180529,,,,www.hanhart.com,,,,
,AIDC-BOX GMBH & CO. KG,Germany,,,,HRA 21468 |DE292865423,Bergstraße 58,,,Höhr-Grenzhausen,,56203,,,DE5170287076,312985597,,,,www.aidc-box.com,,,,
,VACUUMSCHMELZE GMBH & CO. KG,Germany,,,,HRA 5479 |DE811148525,Grüner Weg 37,,,Hanau,,63450,,,DE6130003956,315256719,,,,www.vacuumschmelze.de,,,,
,ATLANTIC INTEGRATED FREIGHT GMBH,Germany,,,,HRB 51607 |DE213708763|045/228/55977,Am Prime-Parc 13,,,Raunheim,,65479,,,DE6070374086,331916499,,,,www.atlanticif.com,,,,
,AIR LIQUIDE DEUTSCHLAND GMBH,Germany,,,,HRB 613 |DE121289819,Luise-Rainer-Straße 5,,,Düsseldorf,,40235,,,DE5050013103,315129445,,,,www.airliquide.de,,,,
,AIRCOM,Germany,,,,HRB 43267 |DE121633223|147/5802/0065,Siemensstraße 18,,,Ratingen,,40885,,,DE5050130015,321491110,,,,www.aircom.net,,,,
,AIXTRUSION GMBH,Germany,,,,HRB 9457 |DE238716870|303/5701/0435,Voßwinkeler Str. 19,,,Arnsberg,,59757,,,DE4270131966,312540469,,,,www.aixtrusion.de,,,,
,"AKI POWER SYSTEMS E. KFR., REINHEIM",Germany,,,,HRB 92395 |DE290519496,Röntgenstraße 9,,,Groß-Zimmern,,64846,,,DE6050180404,312878386,,,,www.aki-usv.com,,,,
,"AKI SYSTEM, PETTSTADT",Germany,,,,HRB 1449 |DE132269071,Ohmstraße 6,,,Pettstadt,,96175,,,DE8050009974,342234804,,,,www.aki-electronic.de,,,,
,AKKREDITIERTE LABORE IN DER MEDIZIN,Germany,,,,VR 33343 B ,Invalidenstraße 113,,,Berlin,,10115,,,DE2012536247,315252905,,,,www.alm-ev.de,,,,
,"AKKU SYS, HAMBURG",Germany,,,,HRB 10211 PI |DE263031252|19/291/19172,Verbindungsweg 48,,,Halstenbek,,25469,,,DE2151430963,341325956,,,,www.akkusys.de,,,,
,AKP PERSONALDIENSTLEISTUNGEN G,Germany,,,,HRB 145807 |DE225807539|143/112/30078,Balanstraße 29,,,München,,81669,,,DE8170762238,331761549,,,,www.akppd.de,,,,
,AKROBIT SOFTWARE GMBH,Germany,,,,HRB 208895 |DE215137874,Johannes-R.-Becher-Straße 64,,,Gera,,7546,,,DE3110073453,314783460,,,,www.akrobit.de,,,,
,AKTENEINLAGERUNG WEILHAMMER GMBH,Germany,,,,HRB 7387 |DE200275245,Dieselstraße 9,,,Messel,,64409,,,DE6050045815,341232572,,,,www.akteneinlagerung.de,,,,
,"TRACO ELECTRONIC GMBH, ISMANING",Germany,,,,HRB 92596 |DE129317749,Oskar-Messter-Straße 20A,,,Ismaning,,85737,,,DE8330209437,328575709,,,,www.tracopower.de,,,,
,AKTIVALLIANZ TREUHAND AG,Germany,,,,HRB 48751 |DE813906862,Rather Str. 78,,,Düsseldorf,,40476,,,DE5050483014,332744213,,,,www.aktivallianz-ag.de,,,,
,FRANZMANN.GEILEN.BRÜCKMANN FACHANWÄ,Germany,,,,HRB 80556 ,Falkensteiner Str. 77,,,Frankfurt am Main,,60322,,,DE6070515950,312541184,,,,akwa.de,,,,
,RITTER SICHERHEITSTECHNIK GMBH,Germany,,,,HRB 1506 |DE138625412|051/105/00272,Große Hagenstraße 24,,,Rathenow,,14712,,,DE3270001509,330854837,,,,www.alarmsysteme-berlin.de,,,,
,CROWNE PLAZA BERLIN CITY,Germany,,,,|DE136665119,Nürnberger Str. 65,,,Berlin,,10787,,,DE2010108392-1000,318963477,,,,www.first-catering.de,,,,
,ALEX BREUER GMBH,Germany,,,,HRA 1432 ,Dieselstraße 15,,,Köln,,50859,,,DE5190010695,325669059,,,,www.alexbreuer.de,,,,
,ALFA FUNKZENTRALE GMBH,Germany,,,,HRB 12227 |DE233026212,Tempelhofer Str. 16,,,Aachen,,52068,,,DE5010342076,332852784,,,,www.alfataxi.de,,,,
,ALFATEC GMBH & CO. KG,Germany,,,,HRA 14674 |DE133502576,Meckenloher Str. 11,,,Rednitzhembach,,91126,,,DE8190022734,316454016,,,,www.alfatec.de,,,,
,ALFRED DURST FILTERTECHNIK GMBH,Germany,,,,HRB 300779 |DE144958811,Carl-Benz-Straße 3,,,Besigheim,,74354,,,DE7070017093,316703586,,,,www.durst-filtertechnik.de,,,,
,ALFRED KÄRCHER VERTRIEBS-GMBH,Germany,,,,HRB 263370 |DE176055816|90487/41322,Friedrich-List-Straße 4,,,Winnenden,,71364,,,DE7330446187,314590548,,,,www.kaercher.de,,,,
,ALFRED KONRAD VEITH KG             WERKZEUG- U. MASCHINENFABRIK,Germany,,,,HRA 580350 |DE146281291|76050/04455,Verrenberger Weg 1,,,Öhringen,,74613,,,DE7070001966,316664309,,,,www.veith-kg.de,,,,
,ALFRED MESSNER GABELSTAPLER GMBH,Germany,,,,HRB 13839 HB |DE114422712|71/580/02951,Heerenholz 4,,,Bremen,,28307,,,DE2050262541,340422211,,,,www.am-stapler.com,,,,
,INTERFLEX DATENSYSTEME,Germany,,,,|DE813177480,Maybachstraße 3C,,,Hildesheim,,31135,,,DE7330021313-1002,344563601,,,,www.interflex.de/de/index.html,,,,
,ALLGÄU BATTERIE,Germany,,,,HRA 4136 |DE812071904|127/164/53403,Hoyen 21,,,Haldenwang,,87490,,,DE8150117618,388135766,,,,www.allgaeubatterie.de,,,,
,ADAC AG (LASTSCHRIFT),Germany,,,,VR 304 |DE129513253|143/842/14307,Hansastraße 19,,,München,,80686,,,DE8170012639,313712967,,,,www.adac.de,,,,
,HEIDRIVE GMBH,Germany,,,,HRB 14183 |DE815490106|132/115/60074,Starenstraße 23,,,Kelheim,,93309,,,DE8171006129,312990584,,,,www.heidrive.de,,,,
,ALLPAX GMBH & CO. KG,Germany,,,,HRA 201837 |DE240772095|53/203/05253,Zur Seeschleuse 14,,,Papenburg,,26871,,,DE2250237562,333847015,,,,www.allpax.de,,,,
,ALLTIME LOGISTICS GMBH,Germany,,,,HRB 710270 |DE290857142|11088/01105,Lustgartenstraße 103,,,Weil am Rhein,,79576,,,DE7010382431,312888418,,,,www.alltime.eu,,,,
,ALMA DRIVING ELEMENTS GMBH,Germany,,,,HRB 7790 |DE146581528|231/121/50285,Obere Heeg 5,,,Schollbrunn,,97852,,,DE8310094171,331277694,,,,www.alma-group.de,,,,
,ALOIS SCHMITT GMBH & CO. KG,Germany,,,,HRA 100331 |DE143620798,Am Heegwald 27,,,Karlsruhe,,76227,,,DE7110000859,316073683,,,,www.eisen-schmitt.de,,,,
,FUTURE ELECTRONICS DEUTSCHLAND GMBH,Germany,,,,HRB 52181 |DE129352092|143/139/10106,Max-Planck-Straße 3,,,Aschheim,,85609,,,DE8330063200,317919199,,,,www.futureelectronics.com,,,,
,AMMERAAL BELTECH GMBH,Germany,,,,HRB 12315 HL |DE124391220|311/5813/0068,Mercatorstraße 103,,,Geesthacht,,21502,,,DE4250018880,316286731,,,,www.ammeraalbeltech.de,,,,
,ALPHA-PHARMA-SERVICE GMBH,Germany,,,,HRB 103189 |DE145764355,Badstraße 36-38,,,Heilbronn,,74072,,,DE7070068464,322420357,,,,www.alpha-pharma.de,,,,
,ORSOFT GMBH,Germany,,,,HRB 28318 |DE289291835,Martin-Luther-Ring 13,,,Leipzig,,4109,,,DE3150449644,342638382,,,,www.orsoft.net,,,,
,ALPTECH ELEKTRONIK GMBH,Germany,,,,HRB 3226 |DE113825894|003 228 28556,Zimmersmühlenweg 14-18,,,Oberursel (Taunus),,61440,,,DE6290071788,327799615,,,,www.alptech.de,,,,
,ALTE LEIPZIGER LEBEN (LASTSCHRIFT-EINZUG),Germany,,,,HRB 1583 |DE114106814|045 223 00421,Alte-Leipziger-Platz 1,,,Oberursel (Taunus),,61440,,,DEFEI1010981,315802900,,,,www.alte-leipziger-leben.de,,,,
,ALTERNATE COMPUTERVERSAND GMBH,Germany,,,,HRB 2110 |DE112595008|020 225 55314,Philipp-Reis-Straße 9,,,Linden,,35440,,,DE6110129916,341125433,,,,www.alternate.de,,,,
,ALTIUM EUROPE GMBH,Germany,,,,HRB 110238 |DE146016739|35005/02607,Albert-Nestler-Straße 7,,,Karlsruhe,,76131,,,DE7110242445,326753936,,,,www.altium.com,,,,
,ALTMANN ANALYTIK GMBH,Germany,,,,HRA 95429 |DE815171960|144/231/40950,Rupert-Mayer-Straße 46,,,München,,81379,,,DE8170872872,341613761,,,,www.altmann-analytik.de,,,,
,ALTMANN GMBH & CO.KG,Germany,,,,|DE130247125,Otto-Hahn-Straße 22,,,Dachau,,85221,,,DE8170306075-1000,329251029,,,,,,,,
,ALTROGGE & MEYER GMBH & CO. KG,Germany,,,,HRA 4811 |DE124169231|307/5793/0084,Franzstraße 101,,,Bocholt,,46395,,,DE4030005321,315654061,,,,www.altrogge-meyer.de,,,,
,ALUJET-UNIVERSAL GMBH,Germany,,,,HRB 55211 |DE813398434,Konkordiastraße 26,,,Düsseldorf,,40219,,,DE5050549667,344304089,,,,www.alujet-universal.de,,,,
,"ALVARIS, SUHL",Germany,,,,HRB 305668 |DE813147827|171/105/05981,Schützenstraße 7,,,Suhl,,98527,,,DE3210106059,330158945,,,,www.alvaris.eu,,,,
,ALWIN HÖFERT,Germany,,,,HRA 2164 AH |DE135501240|30/281/37304,Ferdinand-Harten-Straße 15,,,Ammersbek,,22949,,,DE2390006867,316434521,,,,www.hoefert.de,,,,
,AMA INSTRUMENTS GMBH,Germany,,,,HRB 720323 |DE811865374,Lise-Meitner-Straße 8,,,Ulm,,89081,,,DE8270237883,313784753,,,,www.ama-instruments.com,,,,
,AMADEUS FIRE AG,Germany,,,,|DE114117912,Karmeliterstraße 6,,,Aachen,,52064,,,DE6070194997-1018,315215894,,,,,,,,
,AMA-SYSTEMS  PFORZHEIM,Germany,,,,HRB 500708 |DE144190604|41404/31234,Rastatter Str. 30,,,Pforzheim,,75179,,,DE7230042054,316074988,,,,www.ama-systems.com,,,,
,AMAZON EU S.A.R.L.DEUTSCHLAND,Germany,,,,HRB 218574 |DE814584193,Marcel-Breuer-Straße 12,,,München,,80807,,,DE8171057451,313473221,,,,www.amazon-logistikblog.de,,,,
,AMB AUTOMOBILE BORNA GMBH,Germany,,,,HRB 2486 |DE141672429|238/105/03386,Geschwister-Scholl-Straße 12-14,,,Borna,,4552,,,DE3150011629,330839754,,,,www.amb-autowelt.de,,,,
,AMBROSIO HUECHE GMBH,Germany,,,,HRB 27613 HB ,Gelsenkirchener Str. 12,,,Bremen,,28199,,,DE2050851825,342570323,,,,c.hueche@ambrosiohueche.de,,,,
,AMCOR - CHF,Germany,,,,HRA 707543 ,Alusingen-Platz 1,,,Singen (Hohentwiel),,78224,,,DE7130241287,341053828,,,,,,,,
,AMETEK GMBH,Germany,,,,HRB 1911 |DE120580775|122/5703/4044,Rudolf-Diesel-Straße 16,,,Meerbusch,,40670,,,DE5210003402,315618371,,,,www.ametek.de,,,,
,AMF CREATION GMBH,Germany,,,,HRB 203349 |DE295693441,Industriestraße 47,,,Lehrte,,31275,,,DE2190656625,342808604,,,,www.vliesstoff-markt.de,,,,
,AMICUS GMBH,Germany,,,,HRB 3950 |DE114118180|003 228 35234,Ackergasse 25,,,Oberursel (Taunus),,61440,,,DE6290065727,326996758,,,,www.amicus.de,,,,
,AMORIA BOND GMBH,Germany,,,,HRB 76960 |DE286517487,Kreuzgasse 2a,,,Köln,,50667,,,DE5191007000,342737463,,,,www.amoriabond.com,,,,
,AMPCO METAL DEUTSCHLAND GMBH,Germany,,,,HRB 83624 |DE812538328|139/118/20085,Wallensteinstraße 10,,,Geretsried,,82538,,,DE8290035001,322481235,,,,www.ampcometal.com,,,,
,AMTAG,Germany,,,,HRB 40205 |DE119369978|105/5802/0033,Lise-Meitner-Straße 2,,,Meerbusch,,40670,,,DE5050056853,316571017,,,,www.amtag.de,,,,
,EPSI EUROPE GMBH,Germany,,,,HRB 207466 |DE289698884|66/200/35063,Dütestraße 3,,,Hasbergen,,49205,,,DE2310305332,312870345,,,,www.epsieurope.de,,,,
,AMZ GMBH &  CO. KG,Germany,,,,HRA 40279 |DE234636916|035 302 00120,Stehnweg 2,,,Seligenstadt,,63500,,,DE6210230300,333117393,,,,www.amz-group.de,,,,
,ANALYT-MTC GMBH,Germany,,,,HRB 300295 |DE246515357,Klosterrunsstraße 18,,,Müllheim,,79379,,,DE7010063537,331437017,,,,www.analyt-mtc.de,,,,
,ANAMED ELEKTROPHORESE GMBH,Germany,,,,HRB 8136 |DE213890620,Ringstraße 4,,,Groß-Bieberau,,64401,,,DE6050165940,330474730,,,,www.anamed-gele.com,,,,
,ARZTENACHRICHTENDIENST VERLAGS AG,Germany,,,,HRB 128013 |DE172861774|50/700/00700,Kattjahren 4,,,Hamburg,,22359,,,DE2151663113,312858339,,,,www.aend.de,,,,
,MATEC GMBH,Germany,,,,HRB 759980 |DE310591726|59340/73901,Wilhelm-Maier-Straße 3,,,Köngen,,73257,,,DE7331177349,314217080,,,,www.matec.de,,,,
,ANDOCKSYSTEME G. UNTCH GMBH,Germany,,,,HRB 300672 |DE212146751,Schweighofstraße 3,,,Badenweiler,,79410,,,DE7010215355,314115556,,,,www.andocksysteme.de,,,,
,ANDREAS GOLDNER FLORISTIK,Germany,,,,,Frankfurter Landstraße 74,,,Darmstadt,,64291,,,DE6050223474,340130289,,,,www.blumen-goldner.de,,,,
,ANDREAS LAUBNER GMBH-EUR,Germany,,,,HRB 4106 |DE183119677,Röntgenstraße 4,,,Maxdorf,,67133,,,DE7150088244,498255355,,,,www.laubner.com,,,,
